state,county,title,site_type,site_version,captcha_service_required,home_url,raw_text,scrape
ca,butte,"Superior Court of California, County of Butte",odyssey_site,1,NA,https://cabutteodyprod.tylerhost.net/Portal,"

Click here for the Butte County Courts main website.


      Note: Please do not use the “Register” option to apply for an account. An account is not required to search for public cases or hearings.


      Hint: You can search for a partial name in Smart Search by using the asterisk character (e.g. Smith, J*).


      ***The online portal for case access will be offline on Sunday, 09/13/2020 from 4:00 a.m. - 8:00 a.m., for maintenance.***

",TRUE
ca,calaveras,Court Records Inquiry,odyssey_site,2,NA,https://cacalaverasodyprod.tylerhost.net/PublicAccess/default.aspx,Court Records Inquiry,FALSE
ca,calaveras,NA,odyssey_site,1,NA,https://cacalaverasportal.tylerhost.net/Portal,"

      Information on the portal is made available pursuant to California Rules of Court. An account is not required to search for hearings, court calendars or register of actions.  For daily court calendars you will need to know who the judge is, that information is available on the main website by selecting “Judicial Calendar Assignment” under USEFUL INFORMATION.


      Registration for the portal is only required if you are an Attorney of Record or Justice Partner. After Registration remember to Request Access for your specific role.  NOTE: Access Request may take as long as 30 Business days to complete while account verification is completed.

",TRUE
ca,calaveras,Court Records Inquiry,odyssey_site,2,NA,https://cacalaverasodytest.tylerhost.net/PublicAccess/default.aspx,Court Records Inquiry,FALSE
ca,glenn,"Superior Court of California, County of Glenn",odyssey_site,1,NA,https://caglennportal.tylerhost.net/Portal,"

      Note: Please do not use the “Register” option to apply for an account. An account is not required to search for public cases or hearings.


      Hint: You can search for a partial name in Smart Search by using the asterisk character (e.g. Smith, J*).

",TRUE
ca,kings,"Superior Court of California, County of Kings",odyssey_site,1,NA,https://cakingsportal.tylerhost.net/Portal,"

      Please note that financial case information for cases filed prior to October 24, 2014, will not be accessible through this web-portal. For cases filed prior to this date please contact the Clerk’s Office at 559-582-1010 extension 6100 for assistance in obtaining financial information. Cases filed after October 24, 2014, will be accessible through the web-portal for on-line payments with a credit/debit card transaction.


      ATTENTION: The Court has been experiencing technical problems with the online credit card payment system.  If you receive an error message indicating that your payment was not processed, DO NOT ATTEMPT TO MAKE ANOTHER PAYMENT. Please call the Court at 559-582-1010 Ext. 6100 for assistance.


      ATTENTION: Do not use the ""Pay Online"" web payment option if you want to contest your citation or appear before a judge.

",TRUE
ca,kings,"Superior Court of California, County of Kings",odyssey_site,1,NA,https://cakingsodyprod.tylerhost.net/Portal,"

      Please note that financial case information for cases filed prior to October 24, 2014, will not be accessible through this web-portal. For cases filed prior to this date please contact the Clerk’s Office at 559-582-1010 extension 6100 for assistance in obtaining financial information. Cases filed after October 24, 2014, will be accessible through the web-portal for on-line payments with a credit/debit card transaction.


      ATTENTION: The Court has been experiencing technical problems with the online credit card payment system.  If you receive an error message indicating that your payment was not processed, DO NOT ATTEMPT TO MAKE ANOTHER PAYMENT. Please call the Court at 559-582-1010 Ext. 6100 for assistance.


      ATTENTION: Do not use the ""Pay Online"" web payment option if you want to contest your citation or appear before a judge.

",FALSE
ca,sutter,"Superior Court of California, County of Sutter Portal",odyssey_site,1,NA,https://casutterportal.tylerhost.net/Portal,"

To contest your citation, do not pay your fine through this website. If you pay through this website, you will be giving up the right to contest your citation. Click here for further instructions on how to contest your citation.


Click here to return to the Sutter Superior Court homepage


      Welcome to the Superior Court of California, County of Sutter Public Portal.  Do not register to make payments or search for cases.  Some cases may not be visible to the public.  Access to additional documents and case types is available at the Sutter Superior Courthouse pursuant to California Rule of Court 2.503.


      •	 When you select the Smart Search option it is important to note the way names must be entered  (Last name, First name). You may use a * as a wildcard character (such as Smi* for Smith or Smitty), however, entering too little information will limit your results and you may not see the case you are searching for, in which case you will see a message asking that you narrow the search by entering more precise criteria.


      •	 When entering a case number you must include all of the case number digits after the year or none of the zeros after the year to find a specific case. Example CVFL-17-1234 must be searched as CVFL171234 or CVFL170001234.


For additional help please see the Online User Guide

",TRUE
ca,sutter,Court Records Inquiry,odyssey_site,2,NA,https://casutterodyprod.tylerhost.net/PublicAccess/default.aspx,Court Records Inquiry,FALSE
ca,yuba,"Superior Court of California, County of Yuba Public Portal",odyssey_site,1,NA,https://cayubaportal.tylerhost.net/Portal,"

If you are an attorney requesting access to your cases, you must submit a form available at www.yuba.courts.ca.gov/AttorneyAccess.pdf before access will be granted.

",TRUE
